Title,Price,Capacity,Country,Unit,Characteristics,Quantity,Type,ABV,Vintage,Price)
Canard-Duchêne Brut Champagne,,75.0,France,9.0,"Pear, Bread, Green Apple",per bottle,White,12.0,Non-Vintage,£29.99 
"Boekenhoutskloof 'The Chocolate Block' 2021/22, Swartland",,75.0,South Africa,10.9,"Vanilla, Black Cherry, Black Plum, Chocolate, Coffee, Tobacco",per bottle,Red,14.5,2022,£26.99 
"Weingut Friedrich Becker Pinot Noir 2019, Pfalz",,75.0,Germany,10.1,"Black Fruit, Cedar, Forest Floor, Red Plum",per bottle,Red,13.5,2019,£16.99 
"Weingut Friedrich Becker ‘Kalkmergel’ Grauer Burgunder 2021, Pfalz",,75.0,Germany,9.8,"Butter, Cranberry, Herbaceous, Red Apple",per bottle,White,13.0,2021,£23.99 
"Château Batailley 2016/17, Pauillac",,75.0,France,10.1,"Vanilla, Black Cherry, Black Plum, Blackberry, Blackcurrant, Charred Wood, Cigar Box, Cloves, Earth, Leather",per bottle,Red,13.5,2016,£69.99 
"Vinarija Deuric Gewürztraminer 2020, Serbia",,75.0,Serbia,10.1,"Floral, Honey, Stone Fruit, Tropical Fruit",per bottle,White,13.5,2020,£16.99 
"Domaine de Beauséjour 'Les Silex' Sauvignon Blanc 2021, Touraine",,75.0,France,9.4,"Asparagus, Gooseberry, Grapefruit, White Pepper",per bottle,White,12.5,2021,£11.99 
"Bread & Butter Reserve Cabernet Sauvignon 2019/20, Napa Valley",,75.0,USA,10.9,"Black Cherry, Black Plum, Blackberry, Coffee, Spice",per bottle,Red,14.5,2019,£31.99 
"Bodegas Care Garnacha Blanca Nativa 2021, Cariñena",,75.0,Spain,10.1,"Blossom, Citrus Fruit, Stone Fruit, Tomato Leaf",per bottle,White,13.5,2021,£12.99 
Beronia Rioja Reserva 2018/19,,75.0,Spain,10.5,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,14.0,2019,£17.99 
"Vinos Barco Mencía Menciño 2021, Valdeorras",,75.0,Spain,9.4,"Red Cherry, Red Fruit, Sweet Spice",per bottle,Red,12.5,2021,£9.99 
"Weingut Wieninger Gemischter Satz 2021, Vienna",,75.0,Austria,9.4,"Citrus Fruit, Coconut, Green Apple, White Pepper",per bottle,White,12.5,2021,£15.99 
"Rivera TerrAnima 2022, Puglia",,75.0,Italy,9.4,"Citrus Fruit, Fig, Herbal, Stone Fruit",per bottle,White,12.5,2022,£9.99 
Casa de Vila Nova Filipa de Lencastre Alvarinho Vinho Verde DOC 2021,,75.0,Portugal,9.0,"Bread, Citrus Fruit, Earth, Tropical Fruit",per bottle,White,12.0,2021,£11.99 
"Vinos del Viento Garnacha Blanca 2021, Aragón",,75.0,Spain,9.4,"Apricot, Blossom, Citrus Fruit, Herbaceous",per bottle,White,12.5,2021,£17.99 
"Chozas Carrascal ‘Anma’ Organic Red 2019, Valencia",,75.0,Spain,10.1,"Black Cherry, Cinnamon, Red Fruit, Strawberry",per bottle,Red,13.5,2019,£15.99 
Casal Farneto ‘GranCasale’ Verdicchio 2019,,75.0,Italy,9.8,"Bread, Floral, Lemon, Peach",per bottle,White,13.0,2019,£16.99 
Domaine Le Prieuré de Saint-Céols Menetou-Salon 2021,,75.0,France,9.8,"Citrus Fruit, Stone Fruit, Wet Stones",per bottle,White,13.0,2021,£17.99 
Definition Rioja Reserva 2017/18,,75.0,Spain,10.9,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,14.5,2018,£14.99 
"Cloudy Bay Sauvignon Blanc 2022/23, Marlborough",,75.0,New Zealand,10.1,"Tropical Fruit, Grass, Green Apple, Lemon",per bottle,White,13.5,2023,£29.99 
"Martín Códax Albariño 2021/22, Rías Baixas",,75.0,Spain,9.8,"Wet Stones, Apricot, Lemon, Peach",per bottle,White,13.0,2022,£15.99 
Drappier Premier Cru Champagne,,75.0,France,9.0,"Vanilla, Bread, Cream, Pear, Sweet Spice",per bottle,White,12.0,Non-Vintage,£38.99 
Villa Borghetti Valpolicella Ripasso 2020/21,,75.0,Italy,10.1,"Vanilla, Fig, Red Cherry, Red Plum, Sweet Spice",per bottle,Red,13.5,2021,£15.99 
"Catena Zapata 'Catena Alta' Chardonnay 2020/21, Mendoza",,75.0,Argentina,10.5,"Vanilla, Peach, Pineapple",per bottle,White,14.0,2021,£26.99 
La Rioja Alta 'Viña Ardanza' Rioja Reserva 2015/16,,75.0,Spain,10.9,"Black Fruit, Red Fruit, Vanilla",per bottle,Red,14.5,2016,£29.99 
"La Belle Angèle Sauvignon Blanc 2021/22, France",,75.0,France,9.0,"Pear, Gooseberry, Green Apple",per bottle,White,12.0,2021,£9.99 
"Greywacke Sauvignon Blanc 2022, Marlborough",,75.0,New Zealand,10.1,"Tropical Fruit, Grass, Green Apple, Lemon",per bottle,White,13.5,2022,£24.99 
"Surani 'Pietrariccia' Fiano 2021/22, Puglia",,75.0,Italy,9.8,"Tropical Fruit, Citrus Fruit, Floral, Melon",per bottle,White,13.0,2022,£11.99 
"Definition Chenin Blanc 2021/22, South Africa",,75.0,South Africa,10.5,"Stone Fruit, Citrus Fruit, Floral, Honey",per bottle,White,14.0,2022,£11.99 
"Santa Rita 'Medalla Real' Carménère 2019/21, Colchagua Valley",,75.0,Chile,10.5,"Vanilla, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Earth, Leather, Smoke, Tobacco",per bottle,Red,14.0,2021,£13.99 
"BenMarco Malbec 2021/22, Mendoza",,75.0,Argentina,10.9,"Violet, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,14.5,2021,£14.99 
"Waimea Estates Pinot Gris 2021/22, Nelson",,75.0,New Zealand,9.8,"Red Apple, Honey, Lychee, Pear",per bottle,White,13.0,2022,£12.99 
Tommasi 'Il Sestante' Amarone della Valpolicella DOCG 2017/18,,75.0,Italy,11.3,"Vanilla, Black Fruit, Spice",per bottle,Red,15.0,2018,£42.99 
"Château Rauzan-Ségla 'Ségla' 2014/16, Margaux",,75.0,France,10.1,"Violet, Black Plum, Blackberry, Cedar",per bottle,Red,13.5,2014,£49.99 
Masi 'Costasera' Amarone della Valpolicella Classico DOCG 2017/18,,75.0,Italy,11.3,"Vanilla, Chocolate, Fig, Red Cherry, Red Plum, Sweet Spice",per bottle,Red,15.0,2018,£44.99 
Definition Pouilly-Fumé 2021/22,,75.0,France,10.5,"Smoke, Citrus Fruit, Grass, Green Apple",per bottle,White,14.0,2022,£17.99 
Beronia Rioja Gran Reserva 2015/16,,75.0,Spain,10.9,"Vanilla, Black Fruit, Cedar, Cocoa, Dried Fruit, Red Fruit, Spice",per bottle,Red,14.5,2016,£26.99 
"Pasqua 'Villa Borghetti' Chardonnay 2020/21, Veneto",,75.0,Italy,9.8,"Pear, Red Apple, Vanilla",per bottle,White,13.0,2021,£13.99 
"Casal de Ventozela Alvarinho 2021/22, Vinho Verde DOC",,75.0,Portugal,10.1,"Wet Stones, Citrus Fruit, Green Apple, Peach, Pear",per bottle,White,13.5,2022,£12.49 
Maison Antech 'Mademoiselle Marguerite' Blanquette de Limoux Brut,,75.0,France,9.0,"Candied Fruit, Green Apple, Wet Stones",per bottle,White,12.0,Non-Vintage,£14.99 
Chanoine Frères ‘Réserve Privée’ Brut Rosé Champagne,,75.0,France,9.0,-,per bottle,Rosé,12.0,Non-Vintage,£53.99 
Ayala 'Le Blanc de Blancs' Champagne 2015/16,,75.0,France,9.0,"Pear, Almond, Bread, Green Apple",per bottle,White,12.0,2016,£69.99 
"Penfolds 'Kalimna Bin 28' Shiraz 2019/20, Australia",,75.0,Australia,10.9,"Vanilla, Black Pepper, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Coffee, Eucalyptus, Tobacco",per bottle,Red,14.5,2020,£34.99 
Cattier Premier Cru Brut Rosé Champagne,,75.0,France,9.4,"Apricot, Blackcurrant, Strawberry",per bottle,Rosé,12.5,Non-Vintage,£49.99 
"Duckhorn 'Decoy' Merlot 2019/21, Sonoma County",,75.0,USA,10.9,"Spice, Black Cherry, Black Fruit, Black Plum, Blackberry, Blueberry, Raspberry",per bottle,Red,14.5,2021,£32.99 
"Cillar D Silos 'Torresilo' 2019/20, Ribera del Duero",,75.0,Spain,10.9,"Spice, Black Cherry, Blackcurrant, Cedar",per bottle,Red,14.5,2020,£39.99 
Moët & Chandon 'Grand Vintage' 2013/15 Champagne,,75.0,France,9.4,"Walnut, Biscuit, Hazelnut, Nectarine, Pastry, Peach, Pear",per bottle,White,12.5,2015,£69.99 
"Boekenhoutskloof Cabernet Sauvignon 2017/20, Stellenbosch",,75.0,South Africa,10.9,"Vanilla, Blackcurrant, Earth, Leather, Smoke",per bottle,Red,14.5,2020,£44.99 
Ciabot Berton Barolo DOCG 2017/18,,75.0,Italy,10.9,"Spice, Earth, Leather, Red Fruit, Rose",per bottle,Red,14.5,2018,£32.99 
Pommery 'Brut Rosé Royal’ Champagne,,75.0,France,9.4,"Strawberry, Raspberry, Red Cherry",per bottle,Rosé,12.5,Non-Vintage,£51.99 
"Rupert & Rothschild Baron Edmond 2017/18, Western Cape",,75.0,South Africa,10.5,"Black Fruit, Black Plum, Tobacco, Vanilla",per bottle,Red,14.0,2018,£37.99 
"Pouilly-Fumé de Ladoucette 2021/22, France",,75.0,France,10.1,"Smoke, Citrus Fruit, Grass, Green Apple",per bottle,White,13.5,2021,£37.99 
"Nyetimber 'Classic Cuvée' Brut Half Bottle, Sussex",,37.5,England,4.5,"Peach, Biscuit, Bread, Citrus Fruit, Green Apple",per bottle,White,12.0,Non-Vintage,£19.99 
"Nyetimber 'Classic Cuvée' Brut Magnum, Sussex",,1.5,England,18.0,"Biscuit, Bread, Citrus Fruit, Green Apple, Peach",per bottle,White,12.0,Non-Vintage,£74.99 
Domaine Trouillet ‘Aux Chailloux’ Pouilly-Fuissé Premier Cru 2020,,75.0,France,10.1,"Almond, Citrus Fruit, Floral, Lemon",per bottle,White,13.5,2020,£42.99 
Ruinart 'Second Skin' Blanc de Blancs Champagne,,75.0,France,9.4,"Apricot, Lemon, Pastry",per bottle,White,12.5,Non-Vintage,£94.99 
"Nivola Lambrusco, Italy",,75.0,Italy,7.9,"Violet, Red Cherry, Red Fruit",per bottle,Red,10.5,Non-Vintage,£14.99 
Cattier 'Millesime 2012' Premier Cru Brut Champagne,,75.0,France,9.4,"Apricot, Peach, Red Fruit",per bottle,White,12.5,2012,£59.99 
Bollinger Special Cuvée Champagne Half Bottle,,37.5,France,4.5,"Citrus Fruit, Biscuit, Bread",per bottle,White,12.0,Non-Vintage,£29.99 
"Emma Marris Sauvignon Blanc 2023, Marlborough",,75.0,New Zealand,9.8,"Tropical Fruit, Gooseberry, Grass, Green Apple, Lemon",per bottle,White,13.0,2023,£11.99 
M. Chapoutier 'Belleruche' Côtes du Rhône 2021/22,,75.0,France,10.9,"Spice, Black Plum, Blackberry, Earth, Raspberry",per bottle,Red,14.5,2022,£12.99 
"The Ned Pinot Grigio 2022/23, Marlborough",,75.0,New Zealand,10.5,"Pear Drop, Blossom, Green Fruit, Nectarine",per bottle,White,14.0,2023,£11.49 
Château de Pizay Morgon 2021/22,,75.0,France,10.5,"Vanilla, Blackberry, Raspberry, Red Cherry",per bottle,Red,14.0,2021,£15.99 
"Contesa Pecorino 2021/22, Colline Pescaresi",,75.0,Italy,9.8,"Lemon, Blossom, Citrus Fruit, Green Apple",per bottle,White,13.0,2022,£9.99 
"Château Caronne Ste-Gemme 2016/18, Haut-Médoc",,75.0,France,10.1,"Tobacco, Black Fruit, Blackcurrant, Cedar, Earth, Smoke",per bottle,Red,13.5,2018,£18.99 
Viña Alarde Rioja Reserva 2016/18,,75.0,Spain,10.1,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,13.5,2018,£11.99 
"Nunzio Ghiraldi Lugana DOC 2021/22, Italy",,75.0,Italy,10.5,"Stone Fruit, Citrus Fruit, Floral",per bottle,White,14.0,2022,£16.99 
Beronia Rioja Crianza 2019/20,,75.0,Spain,10.5,"Black Fruit, Red Fruit, Vanilla",per bottle,Red,14.0,2020,£13.99 
"Managers' Choice: VIK 'A' Cabernet Sauvignon 2020/21, Cachapoal Valley",,75.0,Chile,10.5,"Green Bell Pepper, Black Cherry, Black Plum, Blackcurrant, Cedar",per bottle,Red,14.0,2021,£19.99 
"Framingham 'Nobody's Hero' Sauvignon Blanc 2020/22, Marlborough",,75.0,New Zealand,10.1,"Tropical Fruit, Gooseberry, Grass, Green Apple, Lemon",per bottle,White,13.5,2022,£14.99 
Definition Chianti Classico DOCG 2019/20,,75.0,Italy,9.8,"Red Fruit, Earth, Red Cherry",per bottle,Red,13.0,2020,£11.99 
"Penfolds 'Max's' Shiraz-Cabernet Sauvignon 2018/19, Australia",,75.0,Australia,10.9,"Vanilla, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Sweet Spice, Tobacco",per bottle,Red,14.5,2019,£22.99 
Château de La Tour de l'Ange Saint-Véran 2021/22,,75.0,France,9.8,"Almond, Peach, Pear",per bottle,White,13.0,2022,£22.99 
"Château Tour Bayard 2019/20, Montagne-Saint-Émilion",,75.0,France,11.3,"Sweet Spice, Blackcurrant, Liquorice",per bottle,Red,15.0,2020,£17.99 
"Mendel Selection Malbec 2018/20, Mendoza",,75.0,Argentina,10.9,"Violet, Black Fruit, Red Fruit, Ripe Fruit, Spice, Vanilla",per bottle,Red,14.5,2020,£22.99 
"Cecchi ‘Governo All’uso Toscano’ 2020/21, Chianti DOCG",,75.0,Italy,9.8,"Sweet Spice, Black Cherry, Red Fruit",per bottle,Red,13.0,2020,£11.99 
Domini Veneti Soave Classico DOC 2021/22,,75.0,Italy,9.4,"Blossom, Citrus Fruit, Pineapple, Tropical Fruit",per bottle,White,12.5,2022,£11.99 
"Primitivo 'Il Feudo' 2021/22, Puglia",,75.0,Italy,9.8,"Dried Herbs, Red Fruit, Spice",per bottle,Red,13.0,2022,£8.99 
Castello Banfi Rosso di Montalcino DOC 2019/20,,75.0,Italy,10.9,"Strawberry, Raspberry, Red Cherry, Spice",per bottle,Red,14.5,2020,£19.99 
"Domodo Negroamaro 2021/22, Puglia",,75.0,Italy,9.0,"Sweet Spice, Blackberry, Blackcurrant",per bottle,Red,12.0,2022,£9.99 
"Vasse Felix 'Filius' Cabernet-Merlot 2020/21, Margaret River",,75.0,Australia,10.9,"Vanilla, Black Plum, Blackberry, Blackcurrant, Leather, Spice, Sweet Spice",per bottle,Red,14.5,2021,£14.99 
"Naudin Père et Fils Chardonnay 2021/22, France",,75.0,France,10.1,"Lemon, Mango, Peach",per bottle,White,13.5,2022,£11.99 
"Oliver Dubois Muscadet 2020/22, Loire",,75.0,France,9.0,"Pear, Green Apple, Lemon, Lime",per bottle,White,12.0,2022,£9.99 
"Caves d'Esclans 'The Beach by Whispering Angel' 2021/22, Côteaux d'Aix-en-Provence",,75.0,France,9.8,"Peach, Raspberry, Strawberry",per bottle,Rosé,13.0,2022,£18.99 
"Corallo Nero d’Avola Organic 2020/21, Sicily",,75.0,Italy,10.1,"Black Pepper, Red Fruit, Spice",per bottle,Red,13.5,2021,£8.99 
"Naudin Père et Fils Pinot Noir 2022, France",,75.0,France,9.8,"Black Fruit, Floral, Red Fruit",per bottle,Red,13.0,2022,£11.99 
Selvapiana Chianti Rufina Riserva DOCG 2018/20,,75.0,Italy,10.5,"Strawberry, Raspberry, Red Cherry, Spice",per bottle,Red,14.0,2018,£19.99 
Paul Jaboulet Aîné 'Parallèle 45' Organic Côtes du Rhône 2020/21,,75.0,France,10.5,"White Pepper, Black Plum, Blackberry, Earth, Raspberry, Spice",per bottle,Red,14.0,2020,£13.99 
"Domaine du Vaux St Georges Sauvignon Blanc 2021/22, Touraine",,75.0,France,10.1,"Green Apple, Citrus Fruit, Grass",per bottle,White,13.5,2022,£13.99 
"Baron Edmond de Rothschild 'Rimapere' Sauvignon Blanc 2022, Marlborough",,75.0,New Zealand,9.8,"Tropical Fruit, Grass, Green Apple, Lemon",per bottle,White,13.0,2022,£19.99 
Domaine Olivier Foucher Menetou-Salon 2021/22,,75.0,France,10.5,"Green Apple, Citrus Fruit, Grass",per bottle,White,14.0,2022,£17.99 
Domaine Moillard-Thomas Santenay Rouge 2018/19,,75.0,France,10.5,"Raspberry, Red Cherry, Vanilla",per bottle,Red,14.0,2019,£27.99 
Domaine de Villemajou Organic Corbières Boutenac Rouge 2020/21,,75.0,France,11.3,"Spice, Black Plum, Blackberry, Dried Herbs",per bottle,Red,15.0,2021,£19.99 
"Definition Riesling Kabinett 2021/22, Mosel",,75.0,Germany,6.0,"Apricot, Citrus Fruit, Lychee",per bottle,White,8.0,2022,£13.99 
"Petaluma ‘White Label’ Cabernet Sauvignon 2017/19, Coonawarra",,75.0,Australia,10.5,"Blackcurrant, Earth, Spice, Redcurrant, Cassis",per bottle,Red,14.0,2019,£19.99 
"Adega de Pegões ‘Selected Harvest’ White 2021/22, Portugal",,75.0,Portugal,9.8,"Stone Fruit, Citrus Fruit, Cream, Floral",per bottle,White,13.0,2021,£11.99 
"Villa Maria 'Cellar Selection' Albariño 2020/21, Gisborne",,75.0,New Zealand,10.1,"Wet Stones, Green Fruit, Lemon",per bottle,White,13.5,2021,£14.99 
"Marea Syrah 2020/21, Leyda Valley",,75.0,Chile,10.9,"Violet, Blackberry, Blackcurrant",per bottle,Red,14.5,2021,£15.99 
"LFE 900 Single-Vineyard 2016/17, Colchagua Valley",,75.0,Chile,10.9,"Violet, Black Cherry, Black Fruit, Blackberry, Blackcurrant, Chocolate, Coffee, Raspberry",per bottle,Red,14.5,2017,£16.99 
"Grant Burge 'Fifth Generation' Shiraz 2018, Barossa",,75.0,Australia,10.9,"Black Plum, Blackberry, Blueberry, Chocolate, Cloves",per bottle,Red,14.5,2018,£16.99 
"Kanonkop 'Kadette' Pinotage 2019/20, Stellenbosch",,75.0,South Africa,10.9,"Coffee, Black Cherry, Black Plum, Blackberry, Blackcurrant",per bottle,Red,14.5,2020,£15.99 
"Definition Chardonnay 2021/22, Limoux",,75.0,France,10.1,"Vanilla, Apricot, Green Apple, Lemon, Peach",per bottle,White,13.5,2022,£13.99 
"Louis Latour 'Domaine de Valmoissine' Pinot Noir 2020/21, Var",,75.0,France,10.1,"Vanilla, Black Cherry, Dried Herbs, Strawberry",per bottle,Red,13.5,2021,£16.99 
"Jim Barry 'Cover Drive' Cabernet Sauvignon 2019/20, Australia",,75.0,Australia,10.5,"Tobacco, Black Cherry, Black Fruit, Black Plum, Blackberry, Blackcurrant, Blueberry, Cedar, Eucalyptus",per bottle,Red,14.0,2020,£15.99 
"Abbotts & Delaunay ‘Les Fruits Sauvages’ Malbec 2020/21, Languedoc",,75.0,France,9.8,"Black Fruit, Red Fruit, Spice",per bottle,Red,13.0,2020,£11.99 
"Pringle Bay Chenin Blanc 2022, Western Cape",,75.0,South Africa,9.8,"Citrus Fruit, Lemon, Red Apple",per bottle,White,13.0,2022,£9.99 
"Château Grimont 'Cuvée Prestige' 2017/18, Cadillac Côtes de Bordeaux",,75.0,France,10.9,"Cedar, Black Plum, Blackcurrant",per bottle,Red,14.5,2018,£13.99 
"La Baume 'Cuvée Florence' Piquepoul Sauvignon Blanc 2021/22, Languedoc",,75.0,France,9.4,"Wet Stones, Green Fruit, Herbaceous",per bottle,White,12.5,2022,£9.99 
Definition Barolo DOCG 2017/18,,75.0,Italy,10.9,"Violet, Herbaceous, Red Fruit",per bottle,Red,14.5,2018,£24.99 
"Behind Closed Doors Reserva Red 2018/19, Lisbon",,75.0,Portugal,10.9,"Vanilla, Black Plum, Blueberry",per bottle,Red,14.5,2019,£10.99 
"La Belle Angèle Pinot Noir 2020/21, France",,75.0,France,9.8,"Strawberry, Black Cherry, Dried Herbs, Spice",per bottle,Red,13.0,2021,£9.99 
Porta 6 Vinho Verde 2021/22,,75.0,Portugal,7.1,"Pear, Citrus Fruit, Green Apple",per bottle,White,9.5,2022,£8.99 
"Marqués de Riscal Verdejo 2021/22, Rueda",,75.0,Spain,9.8,"Lime, Fennel, Green Apple",per bottle,White,13.0,2022,£13.99 
Famille Perrin Ventoux 2021/22,,75.0,France,10.5,"Cinnamon, Red Fruit, Spice, Strawberry",per bottle,Red,14.0,2022,£9.99 
"Terrazas de los Andes Malbec 2020/21, Mendoza",,75.0,Argentina,10.5,"Violet, Black Fruit, Chocolate, Red Fruit, Ripe Fruit, Tobacco",per bottle,Red,14.0,2020,£18.99 
"Definition Grüner Veltliner 2020/21, Austria",,75.0,Austria,9.4,"White Pepper, Peach, Quince",per bottle,White,12.5,2021,£11.99 
"Robert Oatley 'Signature Series' Chardonnay 2021/22, Margaret River",,75.0,Australia,9.8,"Butter, Cream, Lemon, Peach, Vanilla",per bottle,White,13.1,2022,£14.99 
"Santa Rita '120' Merlot 2021/22, Central Valley",,75.0,Chile,10.1,"Ripe Fruit, Black Fruit, Red Fruit",per bottle,Red,13.5,2022,£8.99 
"Winzer Krems 'Orange' Grüner Veltliner 2020/21, Austria",,75.0,Austria,9.8,"Stone Fruit, Citrus Fruit, Ginger",per bottle,Orange,13.0,2021,£11.99 
"Yalumba Y Series Tempranillo 2020/21, Australia",,75.0,Australia,10.5,"Spice, Black Plum, Blackberry, Dried Herbs, Liquorice, Red Cherry, Smoke, Sour Cherry",per bottle,Red,14.0,2021,£10.99 
Pavillon La Tourelle Bordeaux Supérieur 2019,,75.0,France,10.1,"Black Cherry, Black Fruit, Liquorice, Spice",per bottle,Red,13.5,2019,£9.99 
"Creation Chardonnay 2021/22, Walker Bay",,75.0,South Africa,10.5,"Vanilla, Cream, Stone Fruit",per bottle,White,14.0,2022,£15.99 
"Carpe Diem Feteasca Alba 2021/22, Moldova",,750.0,Moldova,9.8,"Blossom, Citrus Fruit, Grass, Green Apple",per bottle,White,13.0,2021,£14.99 
Domaine André et Edmond Figeat ‘Melody’ Pouilly-Fumé 2021/22,,75.0,France,10.9,"Citrus Fruit, Peach, Smoke",per bottle,White,14.5,2022,£17.99 
"Domäne Wachau 'Weingärten Weissenkirchen' Grüner Veltliner Smaragd 2021/22, Wachau",,75.0,Austria,10.1,"Stone Fruit, Citrus Fruit, Ripe Fruit",per bottle,White,13.5,2022,£17.99 
"Santa Rita '120' Carménère, Central Valley",,75.0,Chile,10.1,"Vanilla, Black Plum, Blackberry, Blackcurrant, Chocolate, Raspberry, Tobacco",per bottle,Red,13.5,2021,£8.99 
"Santa Rita '120' Sauvignon Blanc 2021/22, Central Valley",,75.0,Chile,10.1,"Green Apple, Citrus Fruit, Grass",per bottle,White,13.5,2022,£8.99 
"Yalumba Y Series Sauvignon Blanc 2021/22, Australia",,75.0,Australia,10.1,"Tropical Fruit, Citrus Fruit, Gooseberry, Grapefruit, Grass, Lemon, Lime, Peach",per bottle,White,13.5,2022,£10.99 
Château Bel Air Bergerac Rouge 2020,,75.0,France,10.9,"Black Fruit, Red Fruit, Vanilla",per bottle,Red,14.5,2020,£9.99 
"Von Der Land Zweigelt 2021/22, Austria",,75.0,Austria,10.1,"Violet, Black Fruit, Red Fruit",per bottle,Red,13.5,2022,£11.99 
"Smith & Wright Shiraz 2020/21, Australia",,75.0,Australia,10.1,"Vanilla, Black Pepper, Raspberry, Red Cherry, Red Fruit",per bottle,Red,13.5,2021,£7.99 
"Emiliana 'Elemental' Organic Gran Reserva Viognier 2021/22, Casablanca Valley",,75.0,Chile,10.9,"Peach, Apricot, Floral, Honey",per bottle,White,14.5,2022,£12.99 
"Nero Oro Grillo Appassimento 2021/22, Sicily",,75.0,Italy,10.1,"Tropical Fruit, Apricot, Honey, Peach",per bottle,White,13.5,2022,£11.99 
"Tutiac 'Lion & The Lily' Sauvignon Blanc 2021, Bordeaux",,75.0,France,9.4,"Citrus Fruit, Gooseberry, Green Apple",per bottle,White,12.5,2021,£15.99 
"Iona ‘The Good Stuff White’, Cape South Coast",,75.0,South Africa,9.4,"Apricot, Lemon, Peach",per bottle,White,12.5,2022,£11.99 
"Perdeberg Wines The Dry Land Collection ‘Rossouw’s Heritage’, Paarl",,75.0,South Africa,10.1,"Citrus Fruit, Pear, Tropical Fruit",per bottle,White,13.5,2020,£15.99 
Marqués de Altillo Rioja 2021,,75.0,Spain,9.8,"Black Fruit, Red Fruit, Vanilla",per bottle,Red,13.0,2021,£10.99 
"Viñalba 'Reserve' Malbec-Touriga Nacional 2020/21, Mendoza",,75.0,Argentina,10.9,"Violet, Black Fruit, Red Fruit, Ripe Fruit, Vanilla",per bottle,Red,14.5,2020/21,£12.99 
Georges Duboeuf Morgon 2020,,75.0,France,10.1,"Black Cherry, Black Fruit, Black Pepper, Spice",per bottle,Red,13.5,2020,£16.99 
Masi 'Campofiorin' Rosso Veronese 2018/19,,75.0,Italy,9.8,"Vanilla, Red Cherry, Sweet Spice",per bottle,Red,13.0,2019,£15.99 
"Two Hands 'Gnarly Dudes' Shiraz 2021/22, Barossa Valley",,75.0,Australia,10.8,"Vanilla, Black Pepper, Black Plum, Blackberry, Blackcurrant, Blueberry, Cedar, Chocolate, Tobacco",per bottle,Red,14.4,2022,£21.99 
"Cave Vinicole de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Pinot Gris 2020/21, Alsace",,75.0,France,10.1,"Peach, Butter, Nectarine",per bottle,White,13.5,2021,£13.99 
Moillard-Thomas Coteaux Bourguignons 2021,,75.0,France,9.4,"Blackcurrant, Red Cherry, Spice",per bottle,Red,12.5,2021,£11.99 
"Thymiopoulos ‘White’ Xinomavro-Malagousia 2021, Greece",,75.0,Greece,9.0,"Citrus Fruit, Floral, Peach",per bottle,White,12.0,2021,£14.99 
Lulu 'l'Alouette Organic Chinon 2020/21,,75.0,France,10.1,"Strawberry, Earth, Green Bell Pepper, Raspberry",per bottle,Red,13.5,2021,£13.49 
Plum & Pepper Barossa Shiraz 2017,,75.0,Australia,10.9,"Black Pepper, Black Plum, Blackberry, Blackcurrant, Chocolate, Jammy",per bottle,Red,14.5,2017,£14.99 
"Château Livran 2014, Médoc",,75.0,France,9.8,"Spice, Blackberry, Blackcurrant",per bottle,Red,13.0,2014,£14.99 
Viña Alarde Rioja Gran Reserva 2013/15,,75.0,Spain,10.1,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,13.5,2015,£13.99 
"Viña Albali Cabernet Tempranillo 0.5% 2021/22, Spain",,75.0,Spain,0.4,"Black Cherry, Black Plum, Spice",per bottle,Red,0.5,2022,£4.99 
"Viña Albali Sauvignon Blanc 0.5% 2021/22, Spain",,75.0,Spain,0.4,"Lemon, Lime, Tropical Fruit",per bottle,White,0.5,2022,£4.99 
"Alturo Malbec 2022/23, Mendoza",,75.0,Argentina,10.1,"Violet, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,13.5,2023,£12.99 
"Domaines Barons de Rothschild Lafite 'Réserve Spéciale' 2019/20, Médoc",,75.0,France,10.1,"Leather, Ripe Fruit, Spice",per bottle,Red,13.5,2019,£24.99 
Taylor's LBV Port Decanter 2017/18 50cl,,500.0,Portugal,10.0,"Cedar, Cigar Box, Jammy",per bottle,Red,20.0,2018,£13.99 
Croft Reserve Tawny Port,,75.0,Portugal,15.0,"Nutmeg, Almond, Cinnamon",per bottle,Tawny,20.0,Non-Vintage,£16.99 
Bodegas Olarra 'Dehesa de Lantana' Rioja Gran Reserva 2015,,75.0,Spain,10.5,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,14.0,2015,£15.99 
Taylor's 'Quinta de Vargellas' 2013/15 Port,,75.0,Portugal,15.4,"Prune, Date, Jammy",per bottle,Red,20.5,2013,£36.99 
"Saladini Pilastri Organic Pecorino 2021/22, Offida DOCG",,75.0,Italy,10.1,"Stone Fruit, Citrus Fruit, Floral",per bottle,White,13.5,2022,£12.99 
